num distr,rt,,num distr,rt,,,,,,,,
5.00,1.47,,10.00,15.36,,,,,,,,
5.00,1.07,,10.00,1.70,,,,,,,,
5.00,1.77,,10.00,1.39,,,,,,,,
5.00,1.45,,10.00,1.53,,num distr,rt (in ms),,,,,
5.00,5.48,,10.00,1.64,,5.00,1422.81,,,,,
5.00,1.40,,10.00,1.62,,10.00,1514.70,,,,,
5.00,1.40,,10.00,2.07,,,,,,,,
5.00,1.47,,10.00,1.25,,num distr,rt (rounded off),,,,,
5.00,1.30,,10.00,1.34,,5.00,1423.00,,,,,
5.00,1.25,,10.00,2.09,,10.00,1515.00,,,,,
5.00,1.20,,10.00,1.33,,,,,,,,
5.00,1.33,,10.00,1.39,,,,,,,,
5.00,1.57,,10.00,1.36,,,,,,,,
5.00,1.39,,10.00,1.67,,,,,,,,
5.00,2.07,,10.00,1.32,,,,,,,,
5.00,1.22,,10.00,1.80,,,,,,,,
5.00,1.30,,10.00,1.30,,,,,,,,
5.00,1.48,,10.00,1.36,,,,,,,,
5.00,1.23,,10.00,1.28,,,,,,,,
5.00,1.17,,10.00,2.12,,,,,,,,
5.00,1.67,,10.00,1.29,,,,,,,,
5.00,1.55,,10.00,1.74,,,,,,,,
5.00,1.54,,10.00,4.39,,,,,,,,
5.00,1.63,,10.00,2.34,,,,,,,,
5.00,1.29,,10.00,1.22,,,,,,,,
5.00,1.50,,10.00,1.73,,,,,,,,
5.00,1.25,,10.00,1.46,,,,,,,,
5.00,1.55,,10.00,1.68,,,,,,,,
5.00,1.17,,10.00,1.31,,,,,,,,
5.00,1.94,,10.00,1.49,,,,,,,,
5.00,1.69,,10.00,2.32,,,,,,,,
5.00,1.30,,10.00,2.00,,,,,,,m,(y2-y1)/(x2-x1)
5.00,1.25,,10.00,1.24,,,,,,,m,18.40
5.00,1.37,,10.00,1.10,,,,,,,,
5.00,1.52,,10.00,1.74,,,,,,,The slope of the line is 18.4,
5.00,1.33,,10.00,1.69,,,,,,,,
5.00,1.09,,10.00,1.34,,,,,,***(The chart is not showing no matter how many times I have tried),,
5.00,1.70,,10.00,2.03,,,,,,,,
5.00,1.30,,10.00,1.13,,,,,,,,
5.00,1.34,,10.00,1.11,,,,,,,,
5.00,1.10,,10.00,1.26,,,,,,,,
5.00,1.33,,10.00,1.83,,,,,,,,
5.00,1.15,,10.00,1.41,,,,,,,,
5.00,1.22,,10.00,1.84,,,,,,,,
5.00,1.83,,10.00,2.24,,,,,,,,
5.00,1.32,,10.00,1.59,,,,,,,,
5.00,1.24,,10.00,1.99,,,,,,,,
5.00,1.45,,10.00,1.19,,,,,,,,
5.00,1.22,,10.00,1.23,,,,,,,,
5.00,3.20,,10.00,1.39,,,,,,,,
5.00,2.22,,10.00,1.80,,,,,,,,
5.00,2.30,,10.00,1.47,,,,,,,,
5.00,1.55,,10.00,1.22,,,,,,,,
5.00,1.20,,10.00,1.18,,,,,,,,
5.00,1.24,,10.00,1.44,,,,,,,,
